Gene,Fold_Change,P_Value,Significant,log2FC,-log10P
1007_s_at,,,False,,
1053_at,,,False,,
117_at,,,False,,
121_at,,,False,,
1255_g_at,,,False,,
1294_at,,,False,,
1316_at,,,False,,
1320_at,,,False,,
1405_i_at,,,False,,
1431_at,,,False,,
1438_at,,,False,,
1487_at,,,False,,
1494_f_at,,,False,,
1598_g_at,,,False,,
160020_at,,,False,,
1729_at,,,False,,
1773_at,,,False,,
177_at,,,False,,
179_at,,,False,,
1861_at,,,False,,
200000_s_at,,,False,,
200001_at,,,False,,
200002_at,,,False,,
200003_s_at,,,False,,
200004_at,,,False,,
200005_at,,,False,,
200006_at,,,False,,
200007_at,,,False,,
200008_s_at,,,False,,
200009_at,,,False,,
200010_at,,,False,,
200011_s_at,,,False,,
200012_x_at,,,False,,
200013_at,,,False,,
200014_s_at,,,False,,
200015_s_at,,,False,,
200016_x_at,,,False,,
200017_at,,,False,,
200018_at,,,False,,
200019_s_at,,,False,,
200020_at,,,False,,
200021_at,,,False,,
200022_at,,,False,,
200023_s_at,,,False,,
200024_at,,,False,,
200025_s_at,,,False,,
200026_at,,,False,,
200027_at,,,False,,
200028_s_at,,,False,,
200029_at,,,False,,
200030_s_at,,,False,,
200031_s_at,,,False,,
200032_s_at,,,False,,
200033_at,,,False,,
200034_s_at,,,False,,
200035_at,,,False,,
200036_s_at,,,False,,
200037_s_at,,,False,,
200038_s_at,,,False,,
200039_s_at,,,False,,
200040_at,,,False,,
200041_s_at,,,False,,
200042_at,,,False,,
200043_at,,,False,,
200044_at,,,False,,
200045_at,,,False,,
200046_at,,,False,,
200047_s_at,,,False,,
200048_s_at,,,False,,
200049_at,,,False,,
200050_at,,,False,,
200051_at,,,False,,
200052_s_at,,,False,,
200053_at,,,False,,
200054_at,,,False,,
200055_at,,,False,,
200056_s_at,,,False,,
200057_s_at,,,False,,
200058_s_at,,,False,,
200059_s_at,,,False,,
200060_s_at,,,False,,
200061_s_at,,,False,,
200062_s_at,,,False,,
200063_s_at,,,False,,
200064_at,,,False,,
200065_s_at,,,False,,
200066_at,,,False,,
200067_x_at,,,False,,
200068_s_at,,,False,,
200069_at,,,False,,
200070_at,,,False,,
200071_at,,,False,,
200072_s_at,,,False,,
200073_s_at,,,False,,
200074_s_at,,,False,,
200075_s_at,,,False,,
200076_s_at,,,False,,
200077_s_at,,,False,,
200078_s_at,,,False,,
200079_s_at,,,False,,
200080_s_at,,,False,,
200081_s_at,,,False,,
200082_s_at,,,False,,
200083_at,,,False,,
200084_at,,,False,,
200085_s_at,,,False,,
200086_s_at,,,False,,
200087_s_at,,,False,,
200088_x_at,,,False,,
200089_s_at,,,False,,
200090_at,,,False,,
200091_s_at,,,False,,
200092_s_at,,,False,,
200093_s_at,,,False,,
200094_s_at,,,False,,
200095_x_at,,,False,,
200096_s_at,,,False,,
200097_s_at,,,False,,
200098_s_at,,,False,,
200099_s_at,,,False,,
200593_s_at,,,False,,
200594_x_at,,,False,,
200595_s_at,,,False,,
200596_s_at,,,False,,
200597_at,,,False,,
200598_s_at,,,False,,
200599_s_at,,,False,,
200600_at,,,False,,
200601_at,,,False,,
200602_at,,,False,,
200603_at,,,False,,
200604_s_at,,,False,,
200605_s_at,,,False,,
200606_at,,,False,,
200607_s_at,,,False,,
200608_s_at,,,False,,
200609_s_at,,,False,,
200610_s_at,,,False,,
200611_s_at,,,False,,
200612_s_at,,,False,,
200613_at,,,False,,
200614_at,,,False,,
200615_s_at,,,False,,
200616_s_at,,,False,,
200617_at,,,False,,
200618_at,,,False,,
200619_at,,,False,,
200620_at,,,False,,
200621_at,,,False,,
200622_x_at,,,False,,
200623_s_at,,,False,,
200624_s_at,,,False,,
200625_s_at,,,False,,
200626_s_at,,,False,,
200627_at,,,False,,
200628_s_at,,,False,,
200629_at,,,False,,
200630_x_at,,,False,,
200631_s_at,,,False,,
200632_s_at,,,False,,
200633_at,,,False,,
200634_at,,,False,,
200635_s_at,,,False,,
200636_s_at,,,False,,
200637_s_at,,,False,,
200638_s_at,,,False,,
200639_s_at,,,False,,
200640_at,,,False,,
200641_s_at,,,False,,
200642_at,,,False,,
200643_at,,,False,,
200644_at,,,False,,
200645_at,,,False,,
200646_s_at,,,False,,
200647_x_at,,,False,,
200648_s_at,,,False,,
200649_at,,,False,,
200650_s_at,,,False,,
200651_at,,,False,,
200652_at,,,False,,
200653_s_at,,,False,,
200654_at,,,False,,
200655_s_at,,,False,,
200656_s_at,,,False,,
200657_at,,,False,,
200658_s_at,,,False,,
200659_s_at,,,False,,
200660_at,,,False,,
200661_at,,,False,,
200662_s_at,,,False,,
200663_at,,,False,,
200664_s_at,,,False,,
200665_s_at,,,False,,
200666_s_at,,,False,,
200667_at,,,False,,
200668_s_at,,,False,,
200669_s_at,,,False,,
200670_at,,,False,,
200671_s_at,,,False,,
200672_x_at,,,False,,
200673_at,,,False,,
200674_s_at,,,False,,
200675_at,,,False,,
200676_s_at,,,False,,
200677_at,,,False,,
200678_x_at,,,False,,
200679_x_at,,,False,,
200680_x_at,,,False,,
200681_at,,,False,,
200682_s_at,,,False,,
200683_s_at,,,False,,
200684_s_at,,,False,,
200685_at,,,False,,
200686_s_at,,,False,,
200687_s_at,,,False,,
200688_at,,,False,,
200689_x_at,,,False,,
200690_at,,,False,,
200691_s_at,,,False,,
200692_s_at,,,False,,
200693_at,,,False,,
200694_s_at,,,False,,
200695_at,,,False,,
200696_s_at,,,False,,
200697_at,,,False,,
200698_at,,,False,,
200699_at,,,False,,
200700_s_at,,,False,,
200701_at,,,False,,
200702_s_at,,,False,,
200703_at,,,False,,
200704_at,,,False,,
200705_s_at,,,False,,
200706_s_at,,,False,,
200707_at,,,False,,
200708_at,,,False,,
200709_at,,,False,,
200710_at,,,False,,
200711_s_at,,,False,,
200712_s_at,,,False,,
200713_s_at,,,False,,
200714_x_at,,,False,,
200715_x_at,,,False,,
200716_x_at,,,False,,
200717_x_at,,,False,,
200718_s_at,,,False,,
200719_at,,,False,,
200720_s_at,,,False,,
200721_s_at,,,False,,
200722_s_at,,,False,,
200723_s_at,,,False,,
200724_at,,,False,,
200725_x_at,,,False,,
200726_at,,,False,,
200727_s_at,,,False,,
200728_at,,,False,,
200729_s_at,,,False,,
200730_s_at,,,False,,
200731_s_at,,,False,,
200732_s_at,,,False,,
200733_s_at,,,False,,
200734_s_at,,,False,,
200735_x_at,,,False,,
200736_s_at,,,False,,
200737_at,,,False,,
200738_s_at,,,False,,
200739_s_at,,,False,,
200740_s_at,,,False,,
200741_s_at,,,False,,
200742_s_at,,,False,,
200743_s_at,,,False,,
200744_s_at,,,False,,
200745_s_at,,,False,,
200746_s_at,,,False,,
200747_s_at,,,False,,
200748_s_at,,,False,,
200749_at,,,False,,
200750_s_at,,,False,,
200751_s_at,,,False,,
200752_s_at,,,False,,
200753_x_at,,,False,,
200754_x_at,,,False,,
200755_s_at,,,False,,
200756_x_at,,,False,,
200757_s_at,,,False,,
200758_s_at,,,False,,
200759_x_at,,,False,,
200760_s_at,,,False,,
200761_s_at,,,False,,
200762_at,,,False,,
200763_s_at,,,False,,
200764_s_at,,,False,,
200765_x_at,,,False,,
200766_at,,,False,,
200767_s_at,,,False,,
200768_s_at,,,False,,
200769_s_at,,,False,,
200770_s_at,,,False,,
200771_at,,,False,,
200772_x_at,,,False,,
200773_x_at,,,False,,
200774_at,,,False,,
200775_s_at,,,False,,
200776_s_at,,,False,,
200777_s_at,,,False,,
200778_s_at,,,False,,
200779_at,,,False,,
200780_x_at,,,False,,
200781_s_at,,,False,,
200782_at,,,False,,
200783_s_at,,,False,,
200784_s_at,,,False,,
200785_s_at,,,False,,
200786_at,,,False,,
200787_s_at,,,False,,
200788_s_at,,,False,,
200789_at,,,False,,
200790_at,,,False,,
200791_s_at,,,False,,
200792_at,,,False,,
200793_s_at,,,False,,
200794_x_at,,,False,,
200795_at,,,False,,
200796_s_at,,,False,,
200797_s_at,,,False,,
200798_x_at,,,False,,
200799_at,,,False,,
200800_s_at,,,False,,
200801_x_at,,,False,,
200802_at,,,False,,
200803_s_at,,,False,,
200804_at,,,False,,
200805_at,,,False,,
200806_s_at,,,False,,
200807_s_at,,,False,,
200808_s_at,,,False,,
200809_x_at,,,False,,
200810_s_at,,,False,,
200811_at,,,False,,
200812_at,,,False,,
200813_s_at,,,False,,
200814_at,,,False,,
200815_s_at,,,False,,
200816_s_at,,,False,,
200817_x_at,,,False,,
200818_at,,,False,,
200819_s_at,,,False,,
200820_at,,,False,,
200821_at,,,False,,
200822_x_at,,,False,,
200823_x_at,,,False,,
200824_at,,,False,,
200825_s_at,,,False,,
200826_at,,,False,,
200827_at,,,False,,
200828_s_at,,,False,,
200829_x_at,,,False,,
200830_at,,,False,,
200831_s_at,,,False,,
200832_s_at,,,False,,
200833_s_at,,,False,,
200834_s_at,,,False,,
200835_s_at,,,False,,
200836_s_at,,,False,,
200837_at,,,False,,
200838_at,,,False,,
200839_s_at,,,False,,
200840_at,,,False,,
200841_s_at,,,False,,
200842_s_at,,,False,,
200843_s_at,,,False,,
200844_s_at,,,False,,
200845_s_at,,,False,,
200846_s_at,,,False,,
200847_s_at,,,False,,
200848_at,,,False,,
200849_s_at,,,False,,
200850_s_at,,,False,,
200851_s_at,,,False,,
200852_x_at,,,False,,
200853_at,,,False,,
200854_at,,,False,,
200855_at,,,False,,
200856_x_at,,,False,,
200857_s_at,,,False,,
200858_s_at,,,False,,
200859_x_at,,,False,,
200860_s_at,,,False,,
200861_at,,,False,,
200862_at,,,False,,
200863_s_at,,,False,,
200864_s_at,,,False,,
200865_at,,,False,,
200866_s_at,,,False,,
200867_at,,,False,,
200868_s_at,,,False,,
200869_at,,,False,,
200870_at,,,False,,
200871_s_at,,,False,,
200872_at,,,False,,
200873_s_at,,,False,,
200874_s_at,,,False,,
200875_s_at,,,False,,
200876_s_at,,,False,,
200877_at,,,False,,
200878_at,,,False,,
200879_s_at,,,False,,
200880_at,,,False,,
200881_s_at,,,False,,
200882_s_at,,,False,,
200883_at,,,False,,
200884_at,,,False,,
200885_at,,,False,,
200886_s_at,,,False,,
200887_s_at,,,False,,
200888_s_at,,,False,,
200889_s_at,,,False,,
200890_s_at,,,False,,
200891_s_at,,,False,,
200892_s_at,,,False,,
200893_at,,,False,,
200894_s_at,,,False,,
200895_s_at,,,False,,
200896_x_at,,,False,,
200897_s_at,,,False,,
200898_s_at,,,False,,
200899_s_at,,,False,,
200900_s_at,,,False,,
200901_s_at,,,False,,
200902_at,,,False,,
200903_s_at,,,False,,
200904_at,,,False,,
200905_x_at,,,False,,
